video_id,frame_idx,video_time_ms,easyocr_pred,trocr_pred,same_pred,easyocr_latency_ms,trocr_latency_ms,latency_gap_ms_trocr_minus_easyocr,easyocr_score,trocr_score,easyocr_bbox,trocr_bbox
7733112895099,0,0.0,7985,RM,false,2071.0020,1720.7073,-350.2947,0.1753567010164261,0.6283069849014282,"[550, 312, 588, 343]","[550, 312, 588, 343]"
7733112895099,1,33.333333333333336,53112,8,false,1091.7637,1405.4745,313.7108,0.12733558447631196,0.6666386127471924,"[911, 371, 960, 404]","[911, 371, 960, 404]"
7733112895099,2,66.66666666666667,29745,RM,false,1617.1409,1347.3849,-269.7560,0.11646890919259473,0.6866410970687866,"[549, 311, 586, 340]","[549, 311, 586, 340]"
7733112895099,3,100.0,2995,RM,false,1489.7253,1264.5202,-225.2051,0.19462235271930695,0.6211453676223755,"[548, 308, 585, 338]","[548, 308, 585, 338]"
7733112895099,4,133.33333333333334,09U5,RM,false,2180.3621,1546.8555,-633.5066,0.0912388488650322,0.5086458325386047,"[547, 307, 583, 336]","[547, 307, 583, 336]"
7733112895099,5,166.66666666666669,BISU4,RM,false,2330.9954,1161.2255,-1169.7699,0.08820185270574794,0.7360986471176147,"[544, 304, 581, 333]","[544, 304, 581, 333]"
7733112895099,6,200.0,29,SR,false,2247.1970,1460.6205,-786.5765,0.4929195949817269,0.59025639295578,"[541, 302, 578, 330]","[541, 302, 578, 330]"
7733112895099,7,233.33333333333334,29,RM,false,1694.9554,1118.7653,-576.1901,0.679675281047821,0.679675281047821,"[539, 300, 577, 328]","[539, 300, 577, 328]"
7733112895099,8,266.6666666666667,IS,RM,false,1820.9839,1074.5893,-746.3946,0.500742495059967,0.500742495059967,"[536, 298, 575, 327]","[536, 298, 575, 327]"
7733112895099,9,300.0,75,RM,false,2168.4485,1317.4833,-850.9652,0.16907194425106226,0.4827447831630707,"[534, 296, 571, 326]","[534, 296, 571, 326]"
7733112895099,10,333.33333333333337,2945,RM,false,2139.8190,1229.3833,-910.4357,0.08934125304222107,0.5299421548843384,"[530, 296, 568, 324]","[530, 296, 568, 324]"
7733112895099,11,366.6666666666667,,WW,false,529.2393,1378.9431,849.7038,0.0,0.5016782879829407,"[307, 293, 338, 317]","[307, 293, 338, 317]"
7733112895099,12,400.0,26B,RM,false,1530.0426,1135.8907,-394.1519,0.14460228749174672,0.44665682315826416,"[522, 291, 560, 321]","[522, 291, 560, 321]"
7733112895099,13,433.33333333333337,2644,RM,false,2317.5105,1173.0035,-1144.5070,0.21658404171466827,0.395849347114563,"[518, 291, 556, 322]","[518, 291, 556, 322]"
7733112895099,14,466.6666666666667,33187,SR,false,823.5864,1434.1460,610.5596,0.16463130896822528,0.5491280555725098,"[938, 333, 981, 362]","[938, 333, 981, 362]"
7733112895099,15,500.0,531,SR,false,1531.6607,1493.8475,-37.8132,0.49824273586273193,0.49824273586273193,"[939, 333, 982, 362]","[939, 333, 982, 362]"
