file,plate
plate_0001.jpg,30B34414
plate_0002.jpg,12D107864
plate_0003.jpg,36B563560
plate_0004.jpg,20D20224
plate_0005.jpg,29E172301
plate_0006.jpg,29AF43850
plate_0007.jpg,30A38056
plate_0008.jpg,29AE88280
plate_0009.jpg,30K21969
plate_0010.jpg,15B188870
plate_0011.jpg,TODO__plate_0011
plate_0012.jpg,TODO__plate_0012
plate_0013.jpg,TODO__plate_0013
plate_0014.jpg,TODO__plate_0014
plate_0015.jpg,TODO__plate_0015
plate_0016.jpg,TODO__plate_0016
plate_0017.jpg,TODO__plate_0017
plate_0018.jpg,TODO__plate_0018
plate_0019.jpg,TODO__plate_0019
plate_0020.jpg,TODO__plate_0020
plate_0021.jpg,TODO__plate_0021
plate_0022.jpg,TODO__plate_0022
plate_0023.jpg,TODO__plate_0023
plate_0024.jpg,TODO__plate_0024
plate_0025.jpg,TODO__plate_0025
plate_0026.jpg,TODO__plate_0026
plate_0027.jpg,TODO__plate_0027
plate_0028.jpg,TODO__plate_0028
plate_0029.jpg,TODO__plate_0029
plate_0030.jpg,TODO__plate_0030
plate_0031.jpg,TODO__plate_0031
plate_0032.jpg,TODO__plate_0032
plate_0033.jpg,TODO__plate_0033
plate_0034.jpg,TODO__plate_0034
plate_0035.jpg,TODO__plate_0035
plate_0036.jpg,TODO__plate_0036
plate_0037.jpg,TODO__plate_0037
plate_0038.jpg,TODO__plate_0038
plate_0039.jpg,TODO__plate_0039
