image_id,text_gt,confidence
plate_0001,51C70096,0.2876842444485587
plate_0002,57G10096,0.37569820960045447
plate_0003,51465474,0.4943197444879197
plate_0004,61G51936,0.41463996325637276
plate_0005,61G51936,0.5345041961337889
plate_0006,51464826,0.5238733080502
plate_0007,BIF86988,0.5617999592438611
plate_0008,EIF86988,0.2971082079968729
plate_0009,52Y6490,0.23848063764477617
plate_0010,61G49520,0.4288209779273139
plate_0011,EING617,0.03574726365704808
plate_0012,61F79512,0.6483105766162954
plate_0013,BIF79512,0.21243703341507394
plate_0014,2951779,0.5338913268472584
plate_0015,29451790,0.3946759917307543
plate_0016,61F68784,0.39825653261480753
plate_0017,B0NFZG6,0.1296031117295365
plate_0018,8A02866,0.14535020598867174
plate_0019,61622802,0.8610880516764309
plate_0020,61649539,0.30808414810043555
plate_0021,51619539,0.3263024236854756
plate_0022,3418650,0.4078467413132829
plate_0023,3418650,0.7480635390976004
plate_0024,61F73420,0.42142130982472553
plate_0025,51F73420,0.5555171766670411
plate_0026,708546,0.19888407038644662
plate_0027,4706526,0.537317159869619
plate_0028,89357,0.6999266158110482
plate_0029,26514648,0.7014610319029772
plate_0030,5IF86988,0.2587364465349337
plate_0031,BIF86988,0.8180152704315022
plate_0032,52Y6490,0.7204380879108084
plate_0033,52Y6490,0.9769044349279811
plate_0034,0209,0.614068142750569
plate_0035,11649524,0.17729055732299104
plate_0036,570422,0.12037726383554884
plate_0037,51496141,0.3357180273940374
plate_0038,51F795112,0.23301981054904508
plate_0039,5IF68784,0.1611064591645812
plate_0040,51F68784,0.355681678459008
plate_0041,148402866,0.5010829137000864
plate_0042,48402868,0.32012019503997957
plate_0043,4953951G,0.47544899333879714
plate_0044,5621670,0.5415060311615584
plate_0045,89357,0.9229159636541444
plate_0046,67405227,0.2942704536710006
plate_0047,6105227,0.27183151666626315
plate_0048,61621670,0.38592546036013886
plate_0049,5G21670,0.6481431872549023
plate_0050,67601204,0.15610858872828465
plate_0051,51F06978,0.40687665755997615
plate_0052,51639466,0.4112990359594213
plate_0053,BIF07973,0.34271904386252405
plate_0054,61F0797,0.5809541105041207
plate_0055,51G49160,0.6816459852900609
plate_0056,51F61712,0.6151099343838814
plate_0057,8A05177,0.287014161942167
plate_0058,EIF76354,0.35911848063355145
plate_0059,EFF88270,0.29153880570067014
plate_0060,51F88270,0.47606199313242054
plate_0061,5654698,0.7653777059038257
plate_0062,51F63084,0.40883822672167774
plate_0063,BIF63034,0.4238984353758428
plate_0064,62Y61790,0.2011064746904678
plate_0065,52Y6490,0.7532328732978217
plate_0066,61F1615G,0.4135399683424978
plate_0067,61422959,0.3678313798411249
plate_0068,61637675,0.531920360361786
plate_0069,61A89714,0.6156188853930518
plate_0070,6189717,0.23522712819804892
plate_0071,60A35981,0.5559225122359035
plate_0072,GAPMO,0.035955785009300543
plate_0073,BIN96NN,0.02445927355122667
plate_0074,BIF21403,0.22229209227277913
plate_0075,5F2L7O,0.02176826472282655
plate_0076,6G37307,0.6791747359252417
plate_0077,51631697,0.20008918168493964
plate_0078,51631691,0.35095053047572167
plate_0079,51631691,0.5373498728469682
plate_0080,51651332,0.3779509498491395
plate_0081,51651332,0.46489051577638074
plate_0082,EF15585,0.28634151410716097
plate_0083,6IF15585,0.28438875585411594
plate_0084,61F22261,0.6209368373597934
plate_0085,61F22201,0.2646657822614362
plate_0086,60A3598,0.48904650950134276
plate_0087,60435981,0.5919029196406513
plate_0088,60A35987,0.2065570962711465
plate_0089,61F5G017,0.04627756969467335
plate_0090,51F04275,0.12308371918192794
plate_0091,61F32488,0.4252961585889854
plate_0092,5F32488,0.8096261332718793
plate_0093,RANE2Y26644313,0.28891284099974124
plate_0094,EF15585,0.3462967878903058
plate_0095,BIF59881,0.23363232722567848
plate_0096,5IF59881,0.33799931307105
plate_0097,60L000411,0.17811826506240824
plate_0098,50L004411,0.2518014629481835
plate_0099,50L005411,0.30679336722429146
plate_0100,50L004411,0.6933688355995813
plate_0101,E1F82606,0.40174601114234443
plate_0102,61F06532,0.24264437491849586
plate_0103,5472078,0.13121834408240576
plate_0104,61477529,0.6264683663485596
plate_0105,51405227,0.25601820673620546
plate_0106,51405227,0.5498353336913459
plate_0107,61621670,0.34525593464025356
plate_0108,67F59887,0.21448153650370028
plate_0109,B1F59887,0.3477197838767129
plate_0110,51401204,0.25725104162545026
plate_0111,61A01204,0.2775318851593674
plate_0112,51639466,0.8143783815866981
plate_0113,BIF07973,0.45236909701364925
plate_0114,61F61712,0.4884988634030433
plate_0115,51F61712,0.7007840893742591
plate_0116,48A05177,0.5996791874483939
plate_0117,51F76354,0.35968308811238
plate_0118,EIF88270,0.6345626241581062
plate_0119,51F37118,0.6381971997146132
plate_0120,56S4698,0.7163271116006703
plate_0121,56S4698,0.8990578690986147
plate_0122,51F63034,0.5340141469112283
plate_0123,51F63034,0.5944509903266353
plate_0124,61A69172,0.217790550466136
plate_0125,151469172,0.3657806239347519
plate_0126,52Y6490,0.7053254006920323
plate_0127,5ZY6490,0.8028289268661113
plate_0128,51F16159,0.3188651291570891
plate_0129,61422959,0.4219525297090995
plate_0130,61637675,0.5890168858559184
plate_0131,51637675,0.8258548784811766
plate_0132,51A89712,0.3055769208168234
plate_0133,61472M10,0.29102157253287336
plate_0134,51637691,0.21679499453383638
plate_0135,51631691,0.8318670653916729
plate_0136,61G51832,0.30576097112714284
plate_0137,51651332,0.6591183313889676
plate_0138,6IF15585,0.25217937009110014
